code,system
!2927101,multilex
1335009,multilex
1335010,multilex
14098001,multilex
2447009,multilex
2872001,multilex
2872002,multilex
417009,multilex
417010,multilex
!3471801,multilex
!3474502,multilex
!3474503,multilex
!8504807,multilex
11148001,multilex
13448001,multilex
13450001,multilex
13685001,multilex
13686001,multilex
13784001,multilex
14408001,multilex
1519001,multilex
15578001,multilex
4841007,multilex
!3473801,multilex
!3474903,multilex
!3477601,multilex
!3477701,multilex
!3480103,multilex
!3498103,multilex
1017001,multilex
10336005,multilex
10337005,multilex
10445001,multilex
10917005,multilex
11586001,multilex
12527001,multilex
12528001,multilex
13687001,multilex
13689001,multilex
13691001,multilex
13696001,multilex
13705001,multilex
13739001,multilex
13740001,multilex
13830001,multilex
13831001,multilex
13918001,multilex
13919001,multilex
13921001,multilex
14732001,multilex
14733001,multilex
15220001,multilex
17206001,multilex
1771001,multilex
1771002,multilex
1771003,multilex
1772001,multilex
1773001,multilex
1801001,multilex
18835001,multilex
21185005,multilex
2676001,multilex
2677001,multilex
2677002,multilex
3950001,multilex
3951001,multilex
442001,multilex
443001,multilex
467001,multilex
4837007,multilex
5563001,multilex
5586001,multilex
5662001,multilex
5671001,multilex
5680001,multilex
5798007,multilex
584001,multilex
597001,multilex
598001,multilex
7067001,multilex
7090001,multilex
7091001,multilex
7092001,multilex
7093001,multilex
803001,multilex
8066005,multilex
8076002,multilex
8076003,multilex
8222005,multilex
8232005,multilex
8387001,multilex
8490001,multilex
8494001,multilex
855001,multilex
8704001,multilex
8705001,multilex
8705002,multilex
8706001,multilex
8706002,multilex
8707001,multilex
8707002,multilex
8707003,multilex
8708001,multilex
8708002,multilex
8709001,multilex
8709002,multilex
8709003,multilex
9169005,multilex
9170005,multilex
9171005,multilex
9491005,multilex
9830001,multilex
9831001,multilex
!3510609,multilex
!3510610,multilex
!3510611,multilex
!3522501,multilex
2472001,multilex
2946001,multilex
3953001,multilex
!4475601,multilex
!8504024,multilex
!8504025,multilex
!8505221,multilex
11021001,multilex
1104001,multilex
13751001,multilex
13752001,multilex
13812001,multilex
13813001,multilex
13971001,multilex
16594001,multilex
16595001,multilex
17542001,multilex
3205007,multilex
3207007,multilex
5701001,multilex
5702001,multilex
7676001,multilex
!9131380,multilex
6285002,multilex
6286001,multilex
10009001,multilex
10009002,multilex
11004001,multilex
1182001,multilex
11996001,multilex
12032001,multilex
12463001,multilex
12817001,multilex
12818001,multilex
12833001,multilex
12834001,multilex
13680001,multilex
13682001,multilex
13683001,multilex
13684001,multilex
13688001,multilex
13690001,multilex
13693001,multilex
13694001,multilex
13698001,multilex
13699001,multilex
13704001,multilex
13708001,multilex
13712001,multilex
13716001,multilex
13717001,multilex
13719001,multilex
13720001,multilex
13723001,multilex
13724001,multilex
13728001,multilex
13729001,multilex
13743001,multilex
13744001,multilex
13746001,multilex
13747001,multilex
13749001,multilex
13805001,multilex
13806001,multilex
13808001,multilex
13809001,multilex
13810001,multilex
13811001,multilex
13814001,multilex
13815001,multilex
13816001,multilex
13817001,multilex
13819001,multilex
13820001,multilex
13821001,multilex
13822001,multilex
13823001,multilex
13824001,multilex
13825001,multilex
13826001,multilex
13970001,multilex
1494001,multilex
15360001,multilex
17541001,multilex
18312001,multilex
2947001,multilex
2947002,multilex
2947003,multilex
2948001,multilex
2948002,multilex
3212007,multilex
3451007,multilex
3934001,multilex
3937001,multilex
3943001,multilex
3944001,multilex
3946002,multilex
3949001,multilex
3953007,multilex
3954001,multilex
3955007,multilex
445001,multilex
446001,multilex
5051001,multilex
5677001,multilex
6860007,multilex
7623002,multilex
7623003,multilex
8298001,multilex
8299001,multilex
8710001,multilex
9302001,multilex
9302002,multilex
9302003,multilex
9308001,multilex
9309001,multilex
9310001,multilex
9311001,multilex
9312001,multilex
9313001,multilex
9315001,multilex
9315002,multilex
9315003,multilex
9316001,multilex
9316002,multilex
9317001,multilex
9317002,multilex
9984001,multilex
9987001,multilex
10236001,multilex
10236002,multilex
10236003,multilex
12224001,multilex
12225001,multilex
12226001,multilex
12227001,multilex
10239005,multilex
10240005,multilex
14110005,multilex
14111005,multilex
14502005,multilex
14503005,multilex
1780005,multilex
1781005,multilex
18840001,multilex
22339005,multilex
608005,multilex
8056005,multilex
8057005,multilex
9555005,multilex
9564005,multilex
9565005,multilex
9566005,multilex
9567005,multilex
9568005,multilex
9569005,multilex
9570005,multilex
9571005,multilex
10314005,multilex
10315005,multilex
10444001,multilex
13734001,multilex
13735001,multilex
13737001,multilex
9620001,multilex
1084001,multilex
1524001,multilex
15658001,multilex
15661001,multilex
15988001,multilex
15989001,multilex
15990001,multilex
15991001,multilex
16266001,multilex
16598001,multilex
17931001,multilex
22007,multilex
4851001,multilex
1084002,multilex
10918005,multilex
11000001,multilex
